src,dst,timestamp,date
1,2,2004-04-15 14:56:01,2004-04-15
3,4,2004-04-16 22:50:39,2004-04-16
5,2,2004-04-19 22:39:51,2004-04-19
6,7,2004-04-20 05:40:19,2004-04-20
8,7,2004-04-20 05:42:36,2004-04-20
9,10,2004-04-20 05:53:23,2004-04-20
9,11,2004-04-20 05:54:13,2004-04-20
12,13,2004-04-20 06:06:28,2004-04-20
9,14,2004-04-20 06:15:54,2004-04-20
9,15,2004-04-20 06:17:04,2004-04-20
9,16,2004-04-20 06:18:15,2004-04-20
9,17,2004-04-20 06:22:33,2004-04-20
9,14,2004-04-20 06:25:28,2004-04-20
9,18,2004-04-20 06:29:20,2004-04-20
19,18,2004-04-20 06:37:03,2004-04-20
20,21,2004-04-20 07:09:04,2004-04-20
19,22,2004-04-20 08:34:34,2004-04-20
8,23,2004-04-20 08:37:23,2004-04-20
9,24,2004-04-20 08:44:05,2004-04-20
9,22,2004-04-20 08:44:16,2004-04-20
25,21,2004-04-20 13:18:09,2004-04-20
26,7,2004-04-20 17:12:05,2004-04-20
27,28,2004-04-20 19:44:00,2004-04-20
29,25,2004-04-20 23:34:43,2004-04-20
30,31,2004-04-21 03:18:26,2004-04-21
30,31,2004-04-21 03:18:31,2004-04-21
30,31,2004-04-21 03:18:33,2004-04-21
30,31,2004-04-21 03:18:36,2004-04-21
32,33,2004-04-21 03:27:03,2004-04-21
34,35,2004-04-21 05:32:10,2004-04-21
34,33,2004-04-21 05:35:18,2004-04-21
36,37,2004-04-21 07:02:29,2004-04-21
38,39,2004-04-21 09:14:09,2004-04-21
36,40,2004-04-21 09:25:57,2004-04-21
41,15,2004-04-21 09:38:25,2004-04-21
41,11,2004-04-21 09:39:14,2004-04-21
41,14,2004-04-21 09:41:02,2004-04-21
41,13,2004-04-21 09:41:36,2004-04-21
41,39,2004-04-21 09:57:22,2004-04-21
41,42,2004-04-21 19:03:31,2004-04-21
41,43,2004-04-21 19:39:04,2004-04-21
9,40,2004-04-21 21:41:40,2004-04-21
44,45,2004-04-21 22:11:08,2004-04-21
46,22,2004-04-21 22:48:25,2004-04-21
44,46,2004-04-21 22:57:02,2004-04-21
47,46,2004-04-21 23:01:48,2004-04-21
48,46,2004-04-21 23:18:03,2004-04-21
9,49,2004-04-22 01:15:55,2004-04-22
36,50,2004-04-22 01:35:15,2004-04-22
44,51,2004-04-22 01:35:51,2004-04-22
32,52,2004-04-22 01:40:56,2004-04-22
36,32,2004-04-22 01:42:02,2004-04-22
53,54,2004-04-22 01:46:35,2004-04-22
36,55,2004-04-22 01:49:05,2004-04-22
56,57,2004-04-22 01:49:08,2004-04-22
36,32,2004-04-22 01:51:25,2004-04-22
36,58,2004-04-22 01:52:45,2004-04-22
44,59,2004-04-22 01:55:20,2004-04-22
51,58,2004-04-22 01:55:34,2004-04-22
44,14,2004-04-22 01:57:52,2004-04-22
36,56,2004-04-22 02:02:56,2004-04-22
36,60,2004-04-22 02:08:37,2004-04-22
56,61,2004-04-22 02:14:28,2004-04-22
62,50,2004-04-22 02:20:09,2004-04-22
36,60,2004-04-22 02:26:27,2004-04-22
32,59,2004-04-22 02:37:35,2004-04-22
36,60,2004-04-22 02:44:32,2004-04-22
36,50,2004-04-22 02:45:13,2004-04-22
41,63,2004-04-22 02:56:59,2004-04-22
41,64,2004-04-22 02:57:48,2004-04-22
41,65,2004-04-22 02:58:02,2004-04-22
41,56,2004-04-22 02:58:20,2004-04-22
41,61,2004-04-22 02:59:21,2004-04-22
41,43,2004-04-22 02:59:38,2004-04-22
41,52,2004-04-22 03:00:07,2004-04-22
41,58,2004-04-22 03:00:38,2004-04-22
41,59,2004-04-22 03:04:28,2004-04-22
9,64,2004-04-22 03:05:24,2004-04-22
9,58,2004-04-22 03:06:19,2004-04-22
12,66,2004-04-22 03:06:59,2004-04-22
32,58,2004-04-22 03:07:46,2004-04-22
12,66,2004-04-22 03:07:48,2004-04-22
67,32,2004-04-22 03:11:54,2004-04-22
41,32,2004-04-22 03:12:51,2004-04-22
